"term","estimate","std_error","mcmc_percent","z","p_value"
"edges",-6.20101329712382,0.201400213522863,0,-30.7895070648467,3.62121388849825e-208
"nodematch.gender",0.823740663103673,0.103249192343316,0,7.97818021050114,0.00000000000000148506467333323
"mutual",2.74942450825911,0.206163668693956,0,13.3361252527018,0.000000000000000000000000000000000000000142685359035877
"gwesp.OTP.fixed.0.2",1.73988702664034,0.102901190749573,0,16.908327434953,0.00000000000000000000000000000000000000000000000000000000000000039063845120279
"nodeofactor.gender.1",-0.0666986552486683,0.16346757666237,0,-0.408023759882544,0.683256231345134
"nodeifactor.gender.1",0.0257311644386733,0.152115784018869,0,0.169155124858585,0.865674626230828
"nodeocov.alcohol",-0.131203435275971,0.0620930026805633,0,-2.11301482633954,0.0345994989006307
"nodeicov.alcohol",0.149362907919374,0.0546174709013754,0,2.73470934216422,0.00624353802354293
"absdiff.alcohol",-0.124606984575909,0.0383950793032227,0,-3.24538943107354,0.00117290103196103
"edgecov.logdistance",-0.19982466323828,0.0547002160904794,0,-3.65308727314259,0.000259106116285685
"gwideg.fixed.0.6",1.13775435523041,0.32018156557841,0,3.55346615029211,0.000380190121533599
"gwodeg.fixed.0.6",2.48722982288011,0.433300150381551,0,5.74020069157589,0.00000000945644167339349
