"classroomID","model","n","edges_W2","term","estimate","se","stat","p_value"
1,"NAM_intercept_only",23,221,"rho",0.906930576664332,0.0654380059951791,13.8593858854921,1.11625171113571e-43
1,"NAM_with_gender_HISEI",23,221,"rho",-0.294649366973127,0.666091020280368,-0.442356011418837,0.65823160521603
1,"NAM_with_gender_HISEI",23,221,"(Intercept)",31.1410476472627,42.9272255879789,0.725438162395086,0.468183268247258
1,"NAM_with_gender_HISEI",23,221,"gender_male",-7.62947368601848,8.63117415936078,-0.883943892818346,0.376726501371298
1,"NAM_with_gender_HISEI",23,221,"HISEI",0.763965805028698,0.294844957747398,2.59107637744719,0.00956762545826073
2,"NAM_intercept_only",20,143,"rho",0.81863022304411,0.0953585116588251,8.5847630044082,9.10238793990356e-18
2,"NAM_with_gender_HISEI",20,143,"rho",-0.217384512185438,0.317416429527881,-0.684855892647936,0.49343486134326
2,"NAM_with_gender_HISEI",20,143,"(Intercept)",50.7515796569352,19.842061032546,2.55777762066601,0.0105343434038171
2,"NAM_with_gender_HISEI",20,143,"gender_male",-2.15167429836238,9.43975173569689,-0.227937593975668,0.819694756130654
2,"NAM_with_gender_HISEI",20,143,"HISEI",0.10928452580039,0.288910722521133,0.378264000888358,0.705234485253922
3,"NAM_intercept_only",20,118,"rho",1.11724966231189,0.0801568417442814,13.938294448728,3.70692955392348e-44
3,"NAM_with_gender_HISEI",20,118,"rho",0.0191145553264123,0.45635613239309,0.0418851724993314,0.966590236656531
3,"NAM_with_gender_HISEI",20,118,"(Intercept)",35.3791546191223,29.859821344444,1.184841470115,0.23608013259791
3,"NAM_with_gender_HISEI",20,118,"gender_male",-20.8882428990667,13.6111084137675,-1.53464672119858,0.124870629618849
3,"NAM_with_gender_HISEI",20,118,"HISEI",0.273571887187404,0.267776666187262,1.02164199398946,0.306950374379988
4,"NAM_intercept_only",18,133,"rho",0.811105158251437,0.119522916403123,6.78618948282491,1.15133918008784e-11
4,"NAM_with_gender_HISEI",18,133,"rho",-0.382384128575331,0.362855835788405,-1.05381832358985,0.291966102673063
4,"NAM_with_gender_HISEI",18,133,"(Intercept)",49.9273394753411,32.1265682122098,1.55408256324016,0.120164723868989
4,"NAM_with_gender_HISEI",18,133,"gender_male",1.80253935186788,12.6306756211281,0.142711237778338,0.886518241105195
4,"NAM_with_gender_HISEI",18,133,"HISEI",0.402604841347237,0.433242386163779,0.929283131579467,0.352742374789576
5,"NAM_intercept_only",24,176,"rho",0.94919193405207,0.0373195613134898,25.4341664436706,1.05680181540251e-142
5,"NAM_with_gender_HISEI",24,176,"rho",-0.208074411263467,0.507074299282182,-0.410343043530344,0.681554321092659
5,"NAM_with_gender_HISEI",24,176,"(Intercept)",69.1096260830704,35.2035377188304,1.963144347453,0.0496294037973651
5,"NAM_with_gender_HISEI",24,176,"gender_male",-3.12420015284122,5.93357520203951,-0.526529123919649,0.598520622151458
5,"NAM_with_gender_HISEI",24,176,"HISEI",0.081229921867443,0.238664326857626,0.340352171340211,0.733591332616911
9,"NAM_intercept_only",17,108,"rho",0.762748406439714,0.106950572582971,7.13178422535312,9.90761091800929e-13
9,"NAM_with_gender_HISEI",17,108,"rho",-0.13569201152577,0.446112904202343,-0.304165179369536,0.761002051628909
9,"NAM_with_gender_HISEI",17,108,"(Intercept)",54.4769911657052,34.763617383935,1.56706911608342,0.117098537134026
9,"NAM_with_gender_HISEI",17,108,"gender_male",1.89460556503413,13.1854872581256,0.143688703188923,0.885746292172691
9,"NAM_with_gender_HISEI",17,108,"HISEI",0.00314150484623427,0.353409147080406,0.00888914413276214,0.992907582541295
10,"NAM_intercept_only",17,162,"rho",0.851537069114035,0.0953328427345998,8.93225298530808,4.17419615793888e-19
10,"NAM_with_gender_HISEI",17,162,"rho",-0.939529000088885,0.428312059498841,-2.19356186512285,0.0282669224871981
10,"NAM_with_gender_HISEI",17,162,"(Intercept)",55.7995581213485,27.1623564271403,2.05429739761438,0.0399469164718658
10,"NAM_with_gender_HISEI",17,162,"gender_male",-20.8824891504123,7.37920147345479,-2.82991177643447,0.00465608412766359
10,"NAM_with_gender_HISEI",17,162,"HISEI",0.972745916689281,0.236716847398321,4.10932270930615,3.96821226280025e-05
12,"NAM_intercept_only",18,204,"rho",0.927222750323168,0.0529410380600511,17.5142532957404,1.11539862416406e-68
12,"NAM_with_gender_HISEI",18,204,"rho",0.119888943493911,0.696470107081905,0.172137960085934,0.863329070327061
12,"NAM_with_gender_HISEI",18,204,"(Intercept)",42.6237398550673,30.8490060013201,1.38168924642963,0.167067137652181
12,"NAM_with_gender_HISEI",18,204,"gender_male",-5.60092797909099,7.7622054235997,-0.721563998043944,0.470562580391828
12,"NAM_with_gender_HISEI",18,204,"HISEI",-0.0388121206787128,0.209179288562181,-0.185544758974431,0.852801777099001
