"Classroom","Gender_Female_pval","HISEI_pval","Rho_Network_pval"
"01",0.376726501400688,0.00956762545525545,0.658231604998035
"02",0.815067392761022,0.695373771349535,0.477865429210418
"03",0.12487062035309,0.306950373721533,0.966590234873934
"04",0.886518240761347,0.352742374686241,0.291966102513695
"05",0.598520622059366,0.733591332717711,0.681554321210218
"09",0.885746292123346,0.992907582432829,0.761002048550432
"10",0.00465608412857958,3.96821226392489e-05,0.0282669225028084
"12",0.470562580384026,0.852801777140092,0.86332907008752
