"term","estimate","std_error","mcmc_percent","z","p_value"
"edges",-6.07271321228038,0.177941749968045,0,-34.127534507056,2.88100822295663e-255
"nodematch.gender",0.826418770357977,0.096425654766657,0,8.57052796123448,1.030116686075e-17
"mutual",2.7477652456692,0.202753923708387,0,13.5522173648348,7.68724186618935e-42
"gwesp.OTP.fixed.0.2",1.71565418810629,0.0968948892278471,0,17.7063434591679,3.74633581435259e-70
"nodeofactor.gender.1",-0.096492688644343,0.152973556627893,0,-0.63078018692512,0.52818425996724
"nodeifactor.gender.1",0.0380268668158454,0.139860217688802,0,0.271891946432242,0.785705103868284
"nodeocov.alcohol",-0.126093930917587,0.0636321059859136,0,-1.98160863865642,0.0475230595721638
"nodeicov.alcohol",0.144055234265828,0.0540421912573245,0,2.66560683263012,0.00768495100528552
"absdiff.alcohol",-0.130917408822316,0.0393074707178983,0,-3.33059864782152,0.000866594515417978
"absdiff.age",-0.174592995629852,0.1551904535714,0,-1.12502406953483,0.260578834867101
"edgecov.logdistance",-0.200877124244808,0.0527062295297803,0,-3.81125961839686,0.000138260464166276
"gwideg.fixed.0.6",1.11210820946633,0.305596627969627,0,3.63913769878658,0.000273552505024094
"gwodeg.fixed.0.6",2.41203724528874,0.426015393922221,0,5.66185466464414,1.49745627811136e-08
